base                            |Type                            |Oracle                          |MySQL                           |SQL Server                      |Postgres                        |
                                |                                |                                |                                |                                |                                |
BFILE                           |BFILE                           |BFILE                           |VARCHAR(255)                    |VARCHAR(255)                    |VARCHAR(255)                    |
BIGINT                          |BIGINT                          |NUMBER(19)                      |BIGINT                          |BIGINT                          |BIGINT                          |
BIGSERIAL                       |BIGSERIAL                       |                                |                                |                                |BIGSERIAL                       |
BINARY                          |BINARY(8)                       |                                |BINARY(8)                       |                                |                                |
BINARY                          |BINARY(n)                       |RAW(n)                          |BINARY(n)                       |BINARY(n)                       |BYTEA                           |
BINARY                          |BINARY(n/8)                     |                                |                                |BINARY(n/8)                     |                                |
BINARY_DOUBLE                   |BINARY_DOUBLE                   |BINARY_DOUBLE                   |DOUBLE                          |BINARY_DOUBLE                   |DOUBLE PRECISION                |
DOUBLE                          |DOUBLE                          |BINARY_DOUBLE                   |DOUBLE                          |FLOAT                           |                                |
DOUBLE PRECISION                |DOUBLE PRECISION                |DOUBLE PRECISION                |DOUBLE PRECISION                |DOUBLE PRECISION                |DOUBLE PRECISION                |

BINARY_FLOAT                    |BINARY_FLOAT                    |BINARY_FLOAT                    |FLOAT                           |REAL                            |REAL                            |
BIT                             |BIT                             |NUMBER(1)                       |TINYINT                         |BIT                             |BOOLEAN                         |
BIT VARYING                     |BIT VARYING(n)                  |RAW(n/8)                        |                                |                                |BIT VARYING(n)                  |
BIT                             |BIT(n)                          |RAW(n/8)                        |BIT(n)                          |BINARY(n/8)                     |BIT(n)                          |
BLOB                            |BLOB                            |BLOB                            |LONGBLOB                        |VARBINARY(max)                  |BYTEA                           |
BLOB                            |BLOB(n)                         |BLOB                            |BLOB(n)                         |VARBINARY(max)                  |                                |
BOOL                            |BOOL                            |CHAR(1)                         |BOOL                            |BIT                             |BOOL                            |
BOOLEAN                         |BOOLEAN                         |CHAR(1)                         |BOOLEAN                         |BIT                             |BOOLEAN                         |
BYTEA                           |BYTEA                           |BLOB                            |                                |                                |BYTEA                           |
CHAR                            |CHAR(1)                         |CHAR(1)                         |                                |                                |                                |
CHAR                            |CHAR(10)                        |                                |CHAR(10)                        |                                |CHAR(10)                        |
CHAR                            |CHAR(16)                        |                                |CHAR(16)                        |                                |CHAR(16)                        |
CHAR                            |CHAR(18)                        |                                |                                |CHAR(18)                        |                                |
CHAR                            |CHAR(36)                        |CHAR(36)                        |                                |                                |                                |
CHAR                            |CHAR(n)                         |CHAR(n)                         |CHAR(n)                         |CHAR(n)                         |CHAR(n)                         |
CHAR                            |CHAR(n)                         |                                |                                |                                |CHAR(n)                         |
CHARACTER VARYING               |CHARACTER VARYING(n)            |VARCHAR2(n)                     |CHARACTER VARYING(n)            |CHARACTER VARYING(n)            |CHARACTER VARYING(n)            |
CHARACTER                       |CHARACTER(n)                    |CHARACTER(n)                    |CHARACTER(n)                    |CHARACTER(n)                    |CHARACTER(n)                    |
CLOB                            |CLOB                            |CLOB                            |LONGTEXT                        |VARCHAR(max)                    |TEXT                            |
DATE                            |DATE                            |DATE                            |DATE                            |DATE                            |DATE                            |
DATETIME                        |DATETIME                        |TIMESTAMP(3)                    |DATETIME                        |DATETIME                        |TIMESTAMP(3)                    |
DATETIME                        |DATETIME(3)                     |                                |DATETIME(3)                     |                                |                                |
DATETIME                        |DATETIME(p)                     |TIMESTAMP(p)                    |DATETIME(p)                     |DATETIME2(p)                    |                                |
DATETIME2                       |DATETIME2(p)                    |                                |DATETIME(p)                     |DATETIME2(p)                    |TIMESTAMP(p)                    |
DATETIMEOFFSET                  |DATETIMEOFFSET(p)               |                                |DATETIME(p)                     |DATETIMEOFFSET(p)               |TIMESTAMP(p) WITH TIME ZONE     |
